,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,1,Positive,Physical Health,,,Going for a Spin,You decide to spin yourself really quickly in an office chair. You feel butterflies in your stomach and your head get dizzy as the chair slows down from spinning. These feelings probably mean that you are fine.,N/A,Are you worried about feeling dizzy? ,No,Yes,https://drive.google.com/file/d/1fYamTMa1ZB3CzDOyWxCfhKI3L2j1vR7J/view?usp=sharing,473.jpg,You decide to spin yourself really quickly in an office chair. You feel butterflies in your stomach and your head get dizzy as the chair slows down from spinning. These feelings probably mean that you are fine.,N/A,Are you worried about feeling dizzy? ,No,Yes,https://drive.google.com/file/d/1fYamTMa1ZB3CzDOyWxCfhKI3L2j1vR7J/view?usp=sharing,473.jpg,all
,2,Positive,Physical Health,,,Unknown Sensations,You're walking with some friends after lunch and suddenly feel tingling in your fingertips. This is something that you haven't really experienced before. This probably means that you are fine.,N/A,Does the tingling in your fingers mean that you are sick?,No,Yes,https://drive.google.com/file/d/1TaGhr-WWip-eRu9sYUy8KrsB9UlfG_Im/view?usp=sharing,474.jpg,You're walking with some friends after lunch and suddenly feel tingling in your fingertips. This is something that you haven't really experienced before. This probably means that you are fine.,N/A,Does the tingling in your fingers mean that you are sick?,No,Yes,https://drive.google.com/file/d/1TaGhr-WWip-eRu9sYUy8KrsB9UlfG_Im/view?usp=sharing,474.jpg,all
,3,Negative,Physical Health,,,An accidental bang,"One evening, you are climbing the stairs and accidentally hit your head against a low ceiling. The next morning, the headache is still there slightly, and you wonder what you've done. By lunchtime, the pain has worsened.",N/A,You think the headache is a sign that you...,Are seriously injured,Are getting better,https://drive.google.com/file/d/146ppWjMD-jv8MsLWh8oFtUXFi-waMntP/view?usp=sharing,456.jpg,"One evening, you are climbing the stairs and accidentally hit your head against a low ceiling. The next morning, the headache is still there slightly, and you wonder what you've done. By lunchtime, the pain has worsened.",N/A,You think the headache is a sign that you...,Are seriously injured,Are getting better,https://drive.google.com/file/d/146ppWjMD-jv8MsLWh8oFtUXFi-waMntP/view?usp=sharing,456.jpg,all
,4,Positive,Physical Health,,,Broken Car,"Your car is broken again, and you have to walk a few blocks to get to where you need to go. You feel your chest tighten, and you feel out of breath as you reach your destination. You feel invigorated.",N/A,Are you feeling panicky when you reach your destination? ,No,Yes,https://drive.google.com/file/d/1WhNKzZTbdfwBOrXV9XiU9JzpykR_FM0x/view?usp=drive_link,475.jpg,"Your car is broken again, and you have to walk a few blocks to get to where you need to go. You feel your chest tighten, and you feel out of breath as you reach your destination. You feel invigorated.",N/A,Are you feeling panicky when you reach your destination? ,No,Yes,https://drive.google.com/file/d/1WhNKzZTbdfwBOrXV9XiU9JzpykR_FM0x/view?usp=drive_link,475.jpg,all
,5,Positive,Physical Health,,,Poisonous Snakes,Your friend convinces you to go on a walk through a local park. You have heard that there are poisonous snakes in that park and start to feel worried. You think that the chances that you will see that kind of snake are small.,N/A,Are you likely to get bitten by a poisonous snake?,No,Yes,https://drive.google.com/file/d/1U2_8uATTliNhBZDx61INANKTKxk7cpTi/view?usp=sharing,476.jpg,Your friend convinces you to go on a walk through a local park. You have heard that there are poisonous snakes in that park and start to feel worried. You think that the chances that you will see that kind of snake are small.,N/A,Are you likely to get bitten by a poisonous snake?,No,Yes,https://drive.google.com/file/d/1U2_8uATTliNhBZDx61INANKTKxk7cpTi/view?usp=sharing,476.jpg,all
,6,Resilience/Negation,Physical Health,,,Walking Hard,"You finish a long walk. You notice that your heart is racing very fast, and your chest feels tight. You think you are about to panic.",You really want to go somewhere private so that you're away from others. You decide to stay instead and breathe slowly.,Is it necessary to leave a public area because of your racing heart?,No,Yes,https://drive.google.com/file/d/1iyfbKhJpQQbLHS6L_csK5S-Z-3ZxMpQo/view?usp=drive_link,477.jpg,"You finish a long walk. You notice that your heart is racing very fast, and your chest feels tight. You think you are about to panic.",You really want to go somewhere private so that you're away from others. You decide to stay instead and breathe slowly.,Is it necessary to leave a public area because of your racing heart?,No,Yes,https://drive.google.com/file/d/1iyfbKhJpQQbLHS6L_csK5S-Z-3ZxMpQo/view?usp=drive_link,477.jpg,all
,7,Positive,Physical Health,,,Catching up to Friends,You see your friends across the street and walk over to them. You feel a little disoriented and dizzy as you reach them. You consider what this means and realize that it probably means that you walked too quickly.,N/A,Are you scared about feeling slightly disoriented after your short walk?,No,Yes,https://drive.google.com/file/d/1pczJLTVnLyHDjo-fmzd5s_A2lnG8fHM7/view?usp=sharing,478.jpg,You see your friends across the street and walk over to them. You feel a little disoriented and dizzy as you reach them. You consider what this means and realize that it probably means that you walked too quickly.,N/A,Are you scared about feeling slightly disoriented after your short walk?,No,Yes,https://drive.google.com/file/d/1pczJLTVnLyHDjo-fmzd5s_A2lnG8fHM7/view?usp=sharing,478.jpg,all
,8,Positive,Physical Health,Mental Health,,Trip to the Dentist,"You have experienced a toothache for a few days. This is something you haven't felt before. You go to the dentist, and they provide reassurance. ",N/A,Does the dentist provide comfort?,Yes,No,https://drive.google.com/file/d/1iQrapLaslo5GKFf0WhuKV7VLxiJrJNtD/view?usp=drive_link,369.jpg,"You have experienced a toothache for a few days. This is something you haven't felt before. You go to the dentist, and they provide reassurance. ",N/A,Does the dentist provide comfort?,Yes,No,https://drive.google.com/file/d/1iQrapLaslo5GKFf0WhuKV7VLxiJrJNtD/view?usp=drive_link,369.jpg,all
,9,Resilience/Negation,Physical Health,Mental Health,,Long Walk Outside,"It's a cold day, and you are out walking to clear your mind. Your hands start to shake and your heart beats quickly as you walk up a hill. This is scary.",You remember that this is the first time you have been on a long walk for a couple weeks. You are probably feeling your heart race because of the hill.,Does your rapid heart rate mean something bad is happening?,No,Yes,https://drive.google.com/file/d/1lcMOCr0PYGVo5UIUZXEXzXL0JU5_MIgg/view?usp=sharing,397.jpg,"It's a cold day, and you are out walking to clear your mind. Your hands start to shake and your heart beats quickly as you walk up a hill. This is scary.",You remember that this is the first time you have been on a long walk for a couple weeks. You are probably feeling your heart race because of the hill.,Does your rapid heart rate mean something bad is happening?,No,Yes,https://drive.google.com/file/d/1lcMOCr0PYGVo5UIUZXEXzXL0JU5_MIgg/view?usp=sharing,397.jpg,all
,10,Positive,Physical Health,,,Doctor's Appointment,"At your routine doctor's appointment, your doctor decides to run a few tests to evaluate your health. Your results will be ready within a week. While waiting for your results, you think that there will be no new concerns.",N/A,Are you likely ill?,No,Yes,https://drive.google.com/file/d/1skss2BI_-uGWDYIrkmbfefHHXDWYy7yn/view?usp=sharing,479.jpg,"At your routine doctor's appointment, your doctor decides to run a few tests to evaluate your health. Your results will be ready within a week. While waiting for your results, you think that there will be no new concerns.",N/A,Are you likely ill?,No,Yes,https://drive.google.com/file/d/1skss2BI_-uGWDYIrkmbfefHHXDWYy7yn/view?usp=sharing,479.jpg,all
8,1,Positive,Physical Health,,,Dry Difficulty,"You are talking to your friend about your day and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry throat was probably nothing.",N/A,Does the dry throat mean that you are sick?,No,Yes,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,480.jpg,"You are talking to your friend about your day and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry throat was probably nothing.",N/A,Does the dry throat mean that you are sick?,No,Yes,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,480.jpg,all
,2,Resilience/Negation,Physical Health,Social Situations,,Presentation Panic,"You are giving a presentation that you have been really nervous to give. As you talk, you feel a lump in your throat and start to cough. These feelings probably mean that you are panicking.","You decide to take a slow, deep breath. As you start to talk again, you realize that what you felt was normal.",Is it normal to cough during a presentation?,Yes,No,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,108.jpg,"You are giving a presentation that you have been really nervous to give. As you talk, you feel a lump in your throat and start to cough. These feelings probably mean that you are panicking.","You decide to take a slow, deep breath. As you start to talk again, you realize that what you felt was normal.",Is it normal to cough during a presentation?,Yes,No,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,108.jpg,all
,3,Positive,Physical Health,,,Sleep Sensations ,You are lying in your bed and about to go to sleep. You start to feel a heaviness in your chest as you try to sleep. You think about this pressure and feel tired.,N/A,Are you worried about the heaviness in your chest as you fall asleep?,No,Yes,https://drive.google.com/file/d/1izJIViWYKVGzESq3qfuHbCfkmMbXkVuc/view?usp=sharing,481.jpg,You are lying in your bed and about to go to sleep. You start to feel a heaviness in your chest as you try to sleep. You think about this pressure and feel tired.,N/A,Are you worried about the heaviness in your chest as you fall asleep?,No,Yes,https://drive.google.com/file/d/1izJIViWYKVGzESq3qfuHbCfkmMbXkVuc/view?usp=sharing,481.jpg,all
,4,Resilience/Negation,Physical Health,,,Upset Stomach,You've been feeling sick to your stomach for a few days. You make an appointment with your doctor. The nausea probably means that you are sick.,"You meet with the doctor, and they tell you what's probably going on. You think about it and realize that getting sick sometimes is normal.",Is it normal to get sick sometimes?,Yes,No,https://drive.google.com/file/d/1prtRSSRBp4ryNBbiHEfOgJJIMpOsf_o3/view?usp=sharing,482.jpg,You've been feeling sick to your stomach for a few days. You make an appointment with your doctor. The nausea probably means that you are sick.,"You meet with the doctor, and they tell you what's probably going on. You think about it and realize that getting sick sometimes is normal.",Is it normal to get sick sometimes?,Yes,No,https://drive.google.com/file/d/1prtRSSRBp4ryNBbiHEfOgJJIMpOsf_o3/view?usp=sharing,482.jpg,all
,5,Positive,Physical Health,,,Normal Functions ,"You wear a shirt to work that hangs tightly around your armpits. In the middle of the day, you notice that you have sweat marks. After thinking about it, you realize that sweating throughout the day is normal.",N/A,Is sweating a normal bodily function?,Yes,No,https://drive.google.com/file/d/1Wch_kcxO-_MSrBd4tyGQsC_dXyOttIIF/view?usp=sharing,483.jpg,"You wear a shirt to work that hangs tightly around your armpits. In the middle of the day, you notice that you have sweat marks. After thinking about it, you realize that sweating throughout the day is normal.",N/A,Is sweating a normal bodily function?,Yes,No,https://drive.google.com/file/d/1Wch_kcxO-_MSrBd4tyGQsC_dXyOttIIF/view?usp=sharing,483.jpg,all
